ride_id,bike_type,start_time,end_time,start_station_id,end_station_id
20240917_unuZBa,ebike,2024-09-17 00:25:46.537,2024-09-17 00:33:51.515,ST_8dg,ST_dHG
20240917_JKozEL,ebike,2024-09-17 00:25:56.536,2024-09-17 01:01:28.013,ST_auE,ST_7Ta
20240917_zNQzDM,ebike,2024-09-17 00:25:57.083,2024-09-17 00:55:04.160,ST_eZS,ST_Jbm
20240917_umpexC,ebike,2024-09-17 00:26:37.891,2024-09-17 00:37:32.891,ST_BsR,ST_Z6H
20240917_QANPel,ebike,2024-09-17 00:26:54.991,2024-09-17 00:35:37.211,ST_eGN,ST_vj3
20240917_pHnrEo,ebike,2024-09-17 00:26:59.723,2024-09-17 00:39:40.787,ST_yWT,ST_QNA
20240917_TH6bDu,ebike,2024-09-17 00:27:36.699,2024-09-17 00:48:08.860,ST_5q4,ST_nMV
20240917_Yxg7MB,ebike,2024-09-17 00:28:04.187,2024-09-17 00:29:51.741,ST_W22,ST_kJA
20240917_6w91AQ,ebike,2024-09-17 00:29:06.429,2024-09-17 00:31:56.743,ST_toh,ST_vj3
20240917_eF5Yy5,mechanical,2024-09-17 00:29:48.320,2024-09-17 00:41:53.905,ST_0av,ST_nMV
20240917_JETOeG,mechanical,2024-09-17 00:30:22.656,2024-09-17 00:39:01.094,ST_YML,ST_t9O
20240917_DE8f8M,ebike,2024-09-17 00:30:30.699,2024-09-17 00:52:45.796,ST_AFr,ST_9nO
20240917_5PnLl0,ebike,2024-09-17 00:30:53.625,2024-09-17 00:38:10.172,ST_ZHm,ST_3oG
20240917_K84Hwi,ebike,2024-09-17 00:30:55.829,2024-09-17 00:39:27.037,ST_F35,ST_QBW
20240917_KB76UQ,mechanical,2024-09-17 00:31:08.046,2024-09-17 00:34:35.176,ST_oZo,ST_MpB
20240917_sPViul,ebike,2024-09-17 00:31:19.610,2024-09-17 00:33:41.535,ST_Tp0,ST_HP0
20240917_r97TMC,ebike,2024-09-17 00:31:20.354,2024-09-17 00:51:30.288,ST_30y,ST_jGq
20240917_LuOwCd,mechanical,2024-09-17 00:32:55.447,2024-09-17 00:40:51.602,ST_Scd,ST_nMV
20240917_BvT1Ug,ebike,2024-09-17 00:33:37.522,2024-09-17 00:41:27.989,ST_0av,ST_HP0
20240917_EWJ7Er,ebike,2024-09-17 00:34:00.132,2024-09-17 00:56:43.940,ST_ZPW,ST_nMV
20240917_5HkIeE,ebike,2024-09-17 00:34:02.249,2024-09-17 00:56:40.727,ST_ZPW,ST_GVV
20240917_WeDeBB,ebike,2024-09-17 00:35:32.250,2024-09-17 00:41:53.316,ST_PBx,ST_lZj
20240917_LNxQN4,ebike,2024-09-17 00:36:25.684,2024-09-17 00:46:53.044,ST_uZc,ST_Q5a
20240917_oDVGLX,ebike,2024-09-17 00:37:30.107,2024-09-17 00:41:25.160,ST_7Ta,ST_DXn
20240917_UQiklo,ebike,2024-09-17 00:38:15.090,2024-09-17 01:38:24.193,ST_GVV,ST_y3L
20240917_QAunjm,ebike,2024-09-17 00:39:23.490,2024-09-17 00:45:48.733,ST_FCS,ST_7Sk
20240917_9XE2iM,ebike,2024-09-17 00:39:46.834,2024-09-17 01:01:48.822,ST_Yew,ST_3oG
